1,resume,이력서
2,applicant,"지원자, 신청자"
3,requirement,"필요조건, 요건"
4,meet,"(필요,요구 등을)만족시키다"
5,qualified,"자격있는, 적격의"
6,candidate,"후보자, 지원자"
7,confidence,"확신, 자신, 신임"
8,highly,"매우, 대단히"
9,professional,"전문적인, 직업의, 전문가"
10,interview,"면접, 면접을 보다"
11,hire,고용하다
12,training,"교육, 훈련"
13,reference,"추천서, 참고"
14,position,"일자리, 직책, 두다"
15,achievement,"성취, 달성"
16,impressed,"인상 깊게 생각하는, 감명을 받은"
17,excellent,훌륭한
18,eligible,"자격이 있는, 적격의"
19,identify,"알아보다, 확인하다"
20,associate,관련시키다
21,condition,조건
22,employment,고용
23,lack,"~이 없다, 부족"
24,managerial,관리의
25,diligent,성실한
26,familiar,"익숙한, 친숙한"
27,proficiency,"숙달, 능숙"
28,prospective,"장래의, 미래의"
29,appeal,"관심을 끌다, 매력적이다"
30,specialize,"~을 전공하다, 전문적으로 다루다"
31,apprehensive,"걱정하는, 염려하는"
32,consultant,"고문, 컨설턴트"
33,entitle,자격을 주다
34,degree,학위
35,payroll,"임금대장, 금료명부"
36,recruit,(신입사원등을)모집하다
37,certification,"증명서, 증명"
38,occupation,직업
39,wage,"임금, 급료"
40,attire,"복장, 옷차림새"
41,code,"규범, 관례;암호"
42,concern,"우려, 걱정, 문제, 일, ~을 걱정스럽게 하다; 영향을 미치다, 관련되다."
43,policy,"규정; 보험, 증권"
44,comply,"준수하다, 따르다"
45,regulation,규정
46,exception,예외
47,adhere,"지키다, 고수하다"
48,severely,"엄격하게, 심하게"
49,refrain,"자제하다, 삼가다"
50,permission,"허락, 허가"
51,access,"이용권한, 접근;통로, ~에 접근하다, 도달하다"
52,thoroughly,"철저하게, 완전히, 대단히"
53,revise,"(의견, 계획을)수정하다, 변경하다"
54,approach,"접근법, 처리방법"
55,approval,"승인, 인가"
56,form,"종류, 유형, 양식"
57,immediately,"즉시, 곧"
58,inspection,"점검, 검사"
59,arrangement,"준비, 마련, 주선"
60,procedure,절차
61,negative,"부정적인, 비관적인"
62,mandate,"명령하다, 지시하다, 권한, 지시, 명령"
63,effect,"(법률등의)효력, 효과, 영향, 결과로서 ~을 가져오다"
64,drastically,"심하게, 과감하게, 철저하게"
65,according to,~에 따라
66,enable,(무엇을)가능하게 하다
67,standard,"기준, 표준"
68,constant,"지속적인, 끊임없이 계속하는"
69,act,"법령, 결의서; 행위, 행동, 결정하다, 판결을 내리다, 행동하다"
70,compensation,"보상금, 보상"
71,ban,"금지, 금지하다"
72,obligation,"의무, 책임"
73,authorize,"~을 인가하다, 권한을 부여하다."
74,prohibit,금지하다
75,abolish,"(제도, 법률등을)폐지하다"
76,enforce,"(법률을)시행하다, 집행하다"
77,habit,"습관, 버릇"
78,lagislation,"법률, 법규"
79,restrict,"한정하다, 제한하다"
80,accustomed,익숙한
81,corporatiion,"주식회사, 법인"
82,demanding,"요구가 많은, 힘든"
83,colleague,동료
84,division,부서
85,request,"요청, 요청하다"
86,efficiently,효율적으로
87,manage,~을 경영하다; 가까스로 하다
88,submit,제출하다
89,directly,곧바로
90,remind,"~에게 상기시키다, 일깨우다"
91,instruct,"지시하다, 가르치다"
92,deadline,"마감일, 마감 시간"
93,sample,"견본, 샘플, 표본시식하다, (견본으로 질을)시험하다"
94,notify,"~에게 통지하다, 알리다"
95,perform,"행하다, 실행하다"
96,monitor,"감독하다, 감시하다, 실행하다"
97,deserve,"~할 만하다, ~할 가치가 있다"
98,assignment,"일, 임무, 과제"
99,entire,전체의
100,release,"발표하다, 공개하다, 출시, 발매"
101,extension,"연장, 연기; (전화의)내선"
102,electronically,"컴퓨터 통신망으로, 컴퓨터로"
103,attendance,"출석, 출근"
104,absolutely,"절대적으로, 완전히"
105,delegate,(권한등을)위임하다. 대표
106,attentively,"주의 깊게, 조심스럽게"
107,supervision,감독
108,workshop,"워크숍, 연수"
109,draw,"끌다, 끌어당기다"
110,revision,"수정, 개정"
111,reluctantly,"마지못해, 꺼려하여"
112,acquaint,"~에게 숙지시키다, 잘 알게 하다"
113,convey,(용건을)전달하다
114,check,"검사하다, 조사하다, 확인하다"
115,headquarters,본부
116,file,"(서류를)정리하다, 철하다;(서류, 신청, 고소 등을)정식으로 제기하다, 제출하다"
117,oversee,감독하다 
118,involved,"관여하는, 관계된, 연루된"
119,concentrate,"집중하다, 집중시키다"
120,lax,"(행동 등이)느슨한, 규율에 못 미치는"
121,procrastinate,"미루다, 꾸물거리다"
122,combined,"결합된, 합동의"
123,accomplish,성취하다
124,voluntarily,자발적으로
125,undertake,(일을)떠맡다
126,assume,"(증거는 없으나)사실이라고 생각하다;(책임,역할을)맡다"
127,occasionally,"가끔, 때때로"
128,employee,"직원, 고용인"
129,assist,"돕다, 조력하다"
130,satisfied,"만족하는, 만족스러워하는"
131,manner,"방식, 태도"
132,responsible,"책임이 있는, 책임져야 할"
133,conduct,(업무 등을)수행하다
134,adjust,적응하다
135,personnel,"(집합적)직원, 인원; 인사과"
136,agree,동의하다
137,supervise,"감독하다, 지도하다"
138,coworker,"동료, 협력자"
139,direct,"~에게 길을 안내하다, 가르쳐 주다"
140,confidential,"기밀의, 내밀한"
141,assign,"배정하다, 할당하다"
142,leading,"선도적인, 일류의, 가장 중요한, 선두적인"
143,formal,격식을 갖춘
144,remove,"해임하다, 제거하다"
145,collect,모으다
146,coordinate,조정하다
147,hardly,거의~하지않다
148,abstract,"추상적인, 막연한"
149,directory,주소록
150,accountable,책임이 있는
151,skillfully,"능숙하게, 솜씨있게"
152,exclusive,"독점적인, 배타적인"
153,intention,"의지, 의향"
154,transform,"바꾸다, 변모시키다"
155,respectful,"정중한, 존중하는"
156,duplicate,사본
157,contrary,반대
158,disturbing,"충격적인, 불안감을 주는, 방해하는"
159,engage,"관여하다, 종사하다"
160,foster,"촉진하다, 육성하다"
161,neutrality,"중립성, 중립"
162,widely,널리
163,sophisticated,"(기계가)정교한, 복잡한; 세련된"
164,timely,"시기적절한, 때를 맞춘"
165,realistically,현실적으로
166,promptly,즉시; 정각에
167,accessible,출입할 수 있는; 이용할 수 있는
168,implement,"실시하다, 실행하다"
169,feedback,"의견, 반응"
170,outstanding,우수한; (부채 등이)미지불된
171,inform,~에게 알리다
172,replacement,"교체, 후임자"
173,announcement,"공고, 발표"
174,department,"(조직, 기구의)부서"
175,permanently,"영구적으로, 불변으로"
176,fulfill,"(조건을)만족시키다, (약속, 의무등을)지키다, 이행하다"
177,outline,"개요, 설명하다, 약술하다"
178,explain,설명하다
179,contain,포함하다
180,compile,(자료 등을)편집하다; 모으다
181,subsequent,"차후의, 그 다음의"
182,overview,"개요, 개관"
183,provider,"공급자, 제공자"
184,matter,"문제, 일"
185,expertise,"전문지식, 전문기술"
186,demonstrate,"증명하다; (모형, 실험등으로)설명하다"
187,remainder,나머지
188,essential,"필수적인, 극히 중요한, 본질적인"
189,divide,"분배하다, 나누다"
190,major,"주요한, 중대한"
191,compliance,"(명령, 법규에의)준수"
192,clarify,명확하게 하다
193,face,"(문제 등에)직면하다; 향하다, 마주보다"
194,follow,~을 따라가다; 주시하다; (분명히)이해하다
195,aspect,"관점, 국면"
196,apparently,"보기에 ~한 듯한, 외관상으로는"
197,aware,"알고 있는, 인식하고 있는"
198,extended,"(기간 등을)연장한, 장기간에 걸친"
199,accidentally,"뜻하지 않게, 우연히"
200,advisable,"바람직한, 합당한"
201,concerned,"염려하는, 걱정하는; 관련된"
202,speak,이야기 하다
203,collection,"소장품, 수집물; 징수, 수금"
204,exhibition,전시회
205,celebrity,"유명인사, 명사"
206,live,"(라디오, TV가)생방송인"
207,improvise,"(연주, 연설 등을)즉흥적으로 하다, 즉석에서 만들다."
208,popular,인기있는
209,donation,"기증, 기부"
210,alumni,"동창생들, 졸업생들"
211,present,"제시하다, 현재의, 참석한"
212,admission,입장
213,banquet,"연회, 만찬"
214,anniversary,기념일
215,required,"필수의, 의무적인"
216,succeed,"성공하다, 뒤를 잇다"
217,rest,"쉬다,휴식, 나머지"
218,fund-raising,모금
219,resume,"재개하다, 다시 시작하다"
220,issue,"(출판물의)제 ~호; 문제, 쟁점"
221,subscription,(정기발행물의) 구독
222,appear,"나타나다, 출현하다"
223,accompany,"동행하다, 동반하다"
224,edition,(간행물의)판
225,specifically,"명확하게, 분명히; 특히, 특별히"
226,anonymous,"익명의, 이름을 모르는"
227,commit,"헌신하다, 전념하다"
228,information,"유익한, 정보를 주는"
229,audience,"청중, 관중"
230,author,"작가, 저자"
231,note,주목하다; 특별히 언급하다.
232,antique,골동품
233,manuscript,원고
234,beneficial,"유익한, 이로운"
235,upcoming,"곧 있을, 다가오는"
236,lend,빌려주다
237,current,"현재의,; 현행의, 통용되는"
238,local,"지방의, 고장의"
239,variety,"다양성, 변화"
240,advocate,옹호자
241,contributor,"기고가, 공헌자"
242,defy,"저항하다; (설명,묘사등이)거의 불가능하다"
243,fascinating,"매혹적인, 황홀한"
244,showing,"(영화, 연극의)상영; 전시"
245,survey,설문조사
246,analysis,분석
247,respondent,응답자
248,competition,경쟁
249,consistently,"항상, 일관되게"
250,demand,"수요, 요구하다"
251,do one's utmost,전력을 다하다
252,expand,"확장하다, 확대하다"
253,advanced,"고급의; 진보한, 앞선"
254,postpone,"연기하다, 뒤로 미루다"
255,additional,"추가의, 부가적인"
256,appreciate,고맙게 생각하다; 높이 평가하다; 감상하다
257,demonstration,"설명; 드러냄, 시연"
258,buy,"사다, 구입하다"
259,examine,조사하다
260,effective,"효과적인; (법률 등이)발표되는, 시행되는"
261,like,좋아하다
262,especially,특히
263,closely,"면밀히, 엄밀히"
264,reserve,"예약하다, 지정하다; 보존하다"
265,cooperate,"협력하다, 협동하다"
266,very,"매우, 대단히, 아주"
267,consecutive,연속적인
268,expectation,"예상, 기대"
269,publicize,"공표하다; 광고하다, 선전하다"
270,raise,"높이다, 올리다; (의문을)제기하다"
271,extremely,"극도로, 대단히"
272,affect,"~에 영향을 미치다, 불리하게 작용하다"
273,target,"목표, 목표로 삼다"
274,campaign,"운동, 캠페인"
275,probable,"개연성이 높은, 유망한"
276,focus,"집중시키다, 집중하다"
277,seasonal,"계절의, 계절적인"
278,impact,"영향, 충격"
279,comparison,비교
280,gap,격차
281,mounting,"증가하는, 오르는"
282,reflective,반영하는
283,advertisement,광고
284,marginal,약간의; 주변의
285,customer,고객
286,influence,"~에 영향을 주다, 영향"
287,instantly,"즉각적으로, 즉시"
288,creative,"창조적인, 독창적인"
289,aggressively,적극적으로
290,aim,"~을 겨누다, 목표, 목적"
291,strategy,전략
292,indicate,"보여주다, 나타내다"
293,attract,"끌다, 유인하다"
294,experience,"경험, 체험, 체험하다, 경험하다"
295,analyze,"분석하다, 분석적으로 검토하다"
296,introduce,"(신제품을)발표하다, 소개하다"
297,advise,"조언해주다, 충고하다"
298,subscribe,구독하다
299,absence,"부재; 결근, 결석"
300,means,"방법, 수단"
301,prefer,"(다른 것보다)~을 더 좋아하다, 선호하다"
302,advantage,"이점, 강점"
303,forward,"앞으로, (물건, 정보를)보내다"
304,contemporary,"동시대의; 현대의, 당대의"
305,discussion,"토론, 토의"
306,initial,"처음의, 최초의"
307,steadily,착실하게; 꾸준히
308,necessarily,반드시
